PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
11,2/2/2022,14:24.6,3,4,"Crawford, Sam",1000025159,Left,GIT_YJF,"Jenkins, Andrew",1000050758,Right,GIT_YEL,Undefined,1,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.43393,-0.198112,1.655345,2100.87425,133.303683,10:30,5.85799,-1.99932,5.2106,-24.54336,12.75607,-12.06272,3.62633,-1.44748,79.38683,-4.778819,-0.482066,0.439564,,,,,,,,,,,,6.48481,6.82004,1.85547,50,5.82185,-3.12773,-128.017,-1.31509,10.57663,30.66241,-21.0507,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,b6ca4cb0-8464-11ec-adab-7968ab2d66aa,85.74955,,,9.0471,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,14:24.6,2022-02-02T15:14:24.6450226-05:00,2022-02-02T20:14:24.6450226Z,,v3,,,,,,Undefined,GIT_YJF,85f3a580-8629-4630-b140-b12a6d82dbde,55.28234,-129.27602,15.33121,5.8581,-0.45073,-10.52535,1.99281,-3.56201,5.28831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2/2/2022,15:06.8,4,1,"Crawford, Sam",1000025159,Left,GIT_YJF,"Reid, Stephen",1000051198,Right,GIT_YEL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.8363,-1.269163,3.596188,1475.606725,113.820461,9:45,5.70838,-1.91852,5.8928,-35.50254,8.7228,-16.34686,1.56895,0.06254,72.82499,-7.851734,0.664863,0.478638,,,,,,,,,,,,9.41957,5.3,1.63791,50,5.58572,-6.6477,-115.69468,-3.65767,12.68129,22.94229,-25.03883,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,d00f6a70-8464-11ec-adab-7968ab2d66aa,78.74941,,,7.01131,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,15:06.8,2022-02-02T15:15:06.8389938-05:00,2022-02-02T20:15:06.8389938Z,,v3,,,,,,Undefined,GIT_YJF,2227c450-bd95-421a-bfd5-abf42a4c1440,54.60481,-116.60424,11.47115,5.71105,-2.66499,-12.51942,1.91142,-7.15046,6.34064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2/2/2022,15:28.1,4,2,"Crawford, Sam",1000025159,Left,GIT_YJF,"Reid, Stephen",1000051198,Right,GIT_YEL,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,Passed ball runners advance to 2nd and 3rd,76.73979,-0.396525,2.680912,2493.465268,300.789774,4:00,5.97825,-1.85193,5.31423,-55.83948,-6.74004,14.06965,0.95239,1.83856,70.37508,-10.480526,5.180521,0.504324,,,,,,,,,,,,-6.22414,-2.78827,1.59825,50,5.90183,-5.75258,-111.22571,-2.66868,-7.6924,22.44746,-35.62009,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,dcb1ab30-8464-11ec-adab-7968ab2d66aa,74.73854,,,6.36471,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,15:28.1,2022-02-02T15:15:28.0556594-05:00,2022-02-02T20:15:28.0556594Z,,v3,,,,,,Undefined,GIT_YJF,2febeeb9-1aac-496c-88e6-785f8f16c05c,55.18584,-112.26743,11.22373,5.98733,-1.01566,-17.81005,1.85693,-5.3956,-3.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2/2/2022,16:01.2,4,3,"Crawford, Sam",1000025159,Left,GIT_YJF,"Reid, Stephen",1000051198,Right,GIT_YEL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,0,1,,79.04393,-0.316031,2.840243,1517.630699,136.861,10:30,5.86544,-1.87201,5.89379,-31.19742,13.57595,-11.37981,2.97188,-0.18117,72.34554,-6.136491,0.800031,0.481594,93.56763,-0.495011,-32.73717,4845.104751,,,,37.85007,,-32.485941,0.278285,6.64961,7.46768,1.64988,50,5.82205,-5.27101,-114.71428,-1.54747,8.85434,21.36303,-22.23036,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,f0688360-8464-11ec-adab-7968ab2d66aa,78.26599,3.19282,,6.69839,,,,2.02418,3.19282,-0.06858,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,16:01.2,2022-02-02T15:16:01.1720242-05:00,2022-02-02T20:16:01.1720242Z,GroundBall,v3,,,,,,Undefined,GIT_YJF,e4dda1d7-a1d5-4049-9ee8-77abe403707a,54.6045,-115.56859,10.68152,5.86616,-0.65848,-11.11518,1.86775,-5.6251,4.42717,,2.02792,115.25212,-28.11277,,,,,,,3.20244,-1.64778,-35.55101,,,,,,,-0.06615,-74.32869,5.41641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
15,2/2/2022,16:41.0,5,1,"Crawford, Sam",1000025159,Left,GIT_YJF,"Gonzalez, Tres",1000050552,Left,GIT_YEL,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.01368,2.258897,1.346705,2358.545028,307.340212,4:15,5.93095,-1.87499,5.19481,-60.14011,-7.71969,12.22642,3.04576,0.41088,68.1126,-8.621638,3.513341,0.521101,,,,,,,,,,,,-5.70855,-3.97878,1.74053,50,6.09482,-2.99251,-107.39396,2.21555,-6.6575,18.84338,-36.81423,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,0826b300-8465-11ec-adab-7968ab2d66aa,72.33232,,,5.90107,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,16:41.0,2022-02-02T15:16:41.0095154-05:00,2022-02-02T20:16:41.0095154Z,,v3,,,,,,Undefined,GIT_YJF,48bab287-5ce0-4718-a39a-7f2cf27e4728,55.3065,-108.32103,9.42169,5.94126,4.02678,-18.40711,1.8797,-2.66497,-3.32875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2/2/2022,16:59.5,5,2,"Crawford, Sam",1000025159,Left,GIT_YJF,"Gonzalez, Tres",1000050552,Left,GIT_YEL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.8648,-0.624104,2.750658,2138.788928,143.642932,10:45,5.98305,-1.88662,5.43297,-19.85316,15.66552,-10.63288,3.74346,-0.19477,81.37986,-4.359221,0.86127,0.428943,,,,,,,,,,,,6.13823,8.41162,1.65035,50,5.91435,-5.76558,-130.19641,-2.08016,10.45724,29.24695,-17.84383,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,13327540-8465-11ec-adab-7968ab2d66aa,87.87279,,,8.48494,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,16:59.5,2022-02-02T15:16:59.5334706-05:00,2022-02-02T20:16:59.5334706Z,,v3,,,,,,Undefined,GIT_YJF,ec9d7de6-ad85-4f01-b8a6-5d62eb87603c,55.06249,-131.3287,14.62347,5.98151,-1.38933,-8.92192,1.8814,-6.17043,5.22862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,2/2/2022,17:19.1,5,3,"Crawford, Sam",1000025159,Left,GIT_YJF,"Gonzalez, Tres",1000050552,Left,GIT_YEL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,79.74347,-0.451958,4.471705,1491.328808,101.942253,9:30,5.81325,-1.89005,5.95139,-39.09648,5.31445,-17.80855,2.13477,0.78155,72.47915,-7.697443,1.280073,0.479641,85.96691,1.856991,7.193178,877.434789,,,,58.2442,,6.270138,0.472093,10.56111,3.28921,1.54408,50,5.75528,-8.36905,-115.47428,-2.11461,14.11577,23.53322,-27.77774,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,1efa0d70-8465-11ec-adab-7968ab2d66aa,78.58468,2.66374,,7.26432,,,,2.11757,2.46031,-0.97907,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,17:19.1,2022-02-02T15:17:19.1370290-05:00,2022-02-02T20:17:19.1370290Z,GroundBall,v3,,,,,,Undefined,GIT_YJF,097a7897-0ad1-4ff0-a6bc-5d5093d8d5e1,54.54773,-116.3974,11.76661,5.81686,-1.02499,-13.88887,1.88323,-8.92276,7.05789,,2.12607,124.78519,-14.12719,,,,,,,2.47008,3.80889,-19.19294,,,,,,,-0.97948,15.79104,-0.51045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
18,2/2/2022,18:00.6,6,1,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.23787,-1.909672,2.63488,1999.006721,141.004794,10:45,5.77179,-2.02927,5.24838,-20.38458,16.79717,-12.53839,2.27599,-0.59638,79.91053,-5.72899,0.413331,0.43887,,,,,,,,,,,,7.02319,9.34001,1.79685,50,5.58172,-5.29937,-127.73086,-4.94573,11.50072,28.47237,-16.87944,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,37a227e0-8465-11ec-adab-7968ab2d66aa,85.88513,,,8.32733,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,18:00.6,2022-02-02T15:18:00.6097970-05:00,2022-02-02T20:18:00.6097970Z,,v3,,,,,,Undefined,GIT_YJF,c4f8fc4c-a386-42db-9b7c-49bbd7bd1737,55.24689,-128.89514,14.23618,5.76985,-4.25551,-8.43972,2.02317,-5.76965,5.75036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
19,2/2/2022,18:20.8,6,2,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.37458,-1.333328,3.039862,1459.240506,94.517009,9:15,5.7591,-1.96803,5.81003,-40.94305,2.86008,-17.25891,1.10534,-0.57685,73.37844,-8.866316,-0.055769,0.476348,,,,,,,,,,,,9.76414,2.29323,1.72913,50,5.62531,-5.52835,-116.53464,-4.03368,13.3027,23.79435,-29.04972,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,43a876c0-8465-11ec-adab-7968ab2d66aa,79.12799,,,6.99614,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,18:20.8,2022-02-02T15:18:20.8030258-05:00,2022-02-02T20:18:20.8030258Z,,v3,,,,,,Undefined,GIT_YJF,3480aa6d-88a7-44a1-9a20-abac7a11d565,54.68908,-117.48817,11.89718,5.76363,-2.86955,-14.52486,1.96135,-6.06143,6.65135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
20,2/2/2022,18:39.6,6,3,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.5997,-0.94231,2.42413,2016.61965,158.043449,11:15,5.91735,-2.06674,5.50385,-16.42355,18.88721,-7.16414,3.66656,-0.39524,81.84256,-4.052841,1.149264,0.427686,77.69944,65.629111,70.161291,4892.29287,,,,,,,,4.28492,10.12934,1.85996,50,5.82425,-5.18521,-129.98884,-2.6504,7.34029,26.94237,-14.82198,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,4ed49240-8465-11ec-adab-7968ab2d66aa,88.13111,114.41758,,7.75714,,,,0.23032,3.58163,0.37173,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,18:39.6,2022-02-02T15:18:39.6188210-05:00,2022-02-02T20:18:39.6188210Z,,v3,,,,,,Undefined,GIT_YJF,a579238c-cee6-444e-bc9f-3a9fe2c1dade,54.9938,-131.0198,13.47119,5.91482,-2.08323,-7.41099,2.06375,-5.46609,3.67015,,0.23035,15.95505,-12.55206,3.54465,-0.3131,-0.59842,0.51134,-0.18438,0.02562,3.58163,103.80444,-27.49848,3.34718,-0.66659,0.12477,-0.02747,0.00599,-0.00073,0.37173,44.23392,-5.84494,0.83696,-0.16487,0.11985,-0.08269,0.02921,-0.00412,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
21,2/2/2022,19:06.0,6,4,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,1,2,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,75.72672,1.233666,0.884869,2664.575657,316.471707,4:30,5.81892,-1.97328,4.79609,-65.12897,-13.7878,14.74851,1.56084,0.09433,69.24626,-10.437443,3.485927,0.515709,54.95212,-38.285148,-87.580439,,,,,3.1105,,-44.529724,0.033477,-7.02347,-6.77666,1.87138,50,5.88449,-2.28892,-109.79264,0.00833,-8.45341,21.97166,-40.33037,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,5e935540-8465-11ec-adab-7968ab2d66aa,73.08863,1.6784,,6.48046,,,,2.12767,1.6784,-0.05687,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,19:06.0,2022-02-02T15:19:06.0018226-05:00,2022-02-02T20:19:06.0018226Z,GroundBall,v3,,,,,,Undefined,GIT_YJF,7869c51b-7f1d-4d9b-b97b-1a25fe9b9755,55.70634,-110.92871,10.98583,5.83015,2.09366,-20.16518,1.97843,-1.85182,-4.2267,,2.12761,2.68149,,,,,,,,1.67948,-50.13619,,,,,,,,-0.0555,-63.46065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
22,2/2/2022,19:34.0,6,5,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.33461,-1.842527,1.566122,2087.648579,143.347335,10:45,5.81849,-2.18437,5.25685,-19.09777,15.9382,-11.03532,2.49461,-1.63216,82.69016,-5.401541,-0.391269,0.426018,,,,,,,,,,,,5.91091,8.79394,2.04919,50,5.63577,-3.06595,-131.02347,-4.87894,10.29959,27.06961,-16.85089,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,6f3c9f50-8465-11ec-adab-7968ab2d66aa,88.47607,,,7.64445,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,19:34.0,2022-02-02T15:19:33.9977778-05:00,2022-02-02T20:19:33.9977778Z,,v3,,,,,,Undefined,GIT_YJF,07bea030-776f-4471-95c3-d60d059327ea,55.23993,-132.10161,13.5348,5.81673,-4.20779,-8.42544,2.17947,-3.47617,5.14979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
23,2/2/2022,19:58.3,6,6,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,2,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.01091,-1.129743,2.346085,2066.069412,137.165802,10:30,5.78746,-2.09532,5.47496,-19.21422,15.88784,-13.67505,3.12809,-1.03833,82.08309,-4.736326,-0.087619,0.42642,,,,,,,,,,,,7.39174,8.61981,1.89789,50,5.67515,-4.69516,-130.50208,-3.20599,12.7509,27.39226,-17.30472,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,7dc3a5a0-8465-11ec-adab-7968ab2d66aa,88.39273,,,7.92782,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,19:58.3,2022-02-02T15:19:58.3355442-05:00,2022-02-02T20:19:58.3355442Z,,v3,,,,,,Undefined,GIT_YJF,699ff289-9b87-45b5-a798-888eb3c5c9ac,55.01877,-131.55129,13.69613,5.78526,-2.54316,-8.65236,2.08708,-5.18356,6.37545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
24,2/2/2022,20:24.7,6,7,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,2,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,80.97787,-1.218955,3.387936,1545.176706,146.996561,11:00,5.73398,-1.9146,5.98954,-24.88769,17.70466,-10.59938,2.52817,0.34561,74.0148,-5.906502,1.486167,0.469718,,,,,,,,,,,,6.43248,9.86713,1.65319,50,5.62401,-6.55741,-117.4427,-3.20036,8.97093,22.54373,-18.41301,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,8d732660-8465-11ec-adab-7968ab2d66aa,80.24483,,,6.96308,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,20:24.7,2022-02-02T15:20:24.7103026-05:00,2022-02-02T20:20:24.7103026Z,,v3,,,,,,Undefined,GIT_YJF,fef707fa-860f-49ff-aee5-9e7b7038f866,54.50865,-118.30499,11.27186,5.73296,-2.49606,-9.2065,1.91057,-6.90054,4.48547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
25,2/2/2022,21:06.3,6,8,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.87146,-1.69675,2.771956,1989.142873,155.240619,11:15,5.81665,-2.10435,5.49356,-16.68647,18.58072,-8.03347,2.83661,-0.17883,81.87134,-4.855285,1.343112,0.427422,73.02035,60.464098,50.407521,4996.500095,,,,124.07821,,94.896923,4.933238,4.84205,10.20095,1.86727,50,5.65707,-5.94755,-130.25928,-4.38514,8.30059,27.93485,-14.68679,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,a64a8e30-8465-11ec-adab-7968ab2d66aa,88.18556,101.64835,,8.00012,,,,0.25962,2.73747,0.15201,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,21:06.3,2022-02-02T15:21:06.3368754-05:00,2022-02-02T20:21:06.3368754Z,Popup,v3,,,,,,Undefined,GIT_YJF,13881e68-cdfc-4498-a10e-ff244cb8b359,55.00365,-131.32796,13.96742,5.81408,-3.82328,-7.3434,2.10087,-6.2651,4.15029,,0.29426,32.91525,-15.2734,0.01049,3.04866,-1.64894,0.40463,-0.04754,0.00216,2.73981,93.16621,-27.07371,3.63455,-1.15641,0.46724,-0.13685,0.02102,-0.00126,0.13898,40.99881,-2.73283,1.39565,-2.03206,1.17145,-0.33664,0.04711,-0.00256,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
26,2/2/2022,21:33.9,6,9,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.94924,-1.663123,3.070113,2173.735998,142.055136,10:45,5.8262,-2.04542,5.32015,-18.13147,16.08339,-11.7719,2.7518,-0.1425,83.93397,-5.035784,0.983215,0.420997,81.33897,53.337703,63.225361,4457.183189,,,,,,,,6.67481,8.78611,1.77618,50,5.66254,-6.5445,-131.96888,-4.46953,11.9115,24.94961,-16.49485,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,b6b5e4e0-8465-11ec-adab-7968ab2d66aa,89.5314,117.64774,,7.01527,,,,0.29758,2.65238,0.12372,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,21:33.9,2022-02-02T15:21:33.8825778-05:00,2022-02-02T20:21:33.8825778Z,,v3,,,,,,Undefined,GIT_YJF,004ecf25-5d73-4a6a-b1b8-e5bca661d9fb,55.17949,-132.94449,12.47481,5.8247,-3.82453,-8.24743,2.0412,-7.01028,5.95575,,0.29747,32.0956,-13.34504,3.81021,-1.38087,0.65949,-0.2969,0.07912,-0.00842,2.6524,95.69532,-25.13577,3.32109,-0.65746,0.10002,-0.01118,0.00239,-0.00041,0.12356,63.60441,-6.19616,-0.16774,-0.22436,0.44195,-0.27704,0.07523,-0.00762,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
27,2/2/2022,21:57.9,6,10,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86266,0.035491,1.642363,2401.904453,312.734513,4:30,5.72925,-2.09771,5.39557,-58.09956,-9.46532,11.99068,0.9209,0.44105,70.51993,-10.479488,3.780086,0.501929,,,,,,,,,,,,-5.54823,-4.35323,1.94239,50,5.69135,-3.65602,-111.53532,-1.89641,-6.9055,22.29918,-37.59221,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,c53c9d10-8465-11ec-adab-7968ab2d66aa,75.09514,,,6.34273,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,21:57.9,2022-02-02T15:21:57.9414578-05:00,2022-02-02T20:21:57.9414578Z,,v3,,,,,,Undefined,GIT_YJF,ac6c6255-cccd-4467-a6af-d8cfb8b8e44d,55.10555,-112.55144,11.14959,5.73873,-0.18343,-18.79611,2.10182,-3.34136,-3.45275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
28,2/2/2022,22:22.4,6,11,"Crawford, Sam",1000025159,Left,GIT_YJF,"Parada, Kevin",691006,Right,GIT_YEL,Undefined,1,Top,2,3,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.46844,-1.184699,2.127929,2110.808866,138.619964,10:30,5.79096,-2.1189,5.4005,-19.72017,16.3721,-13.26331,3.03657,-1.22928,80.56905,-4.90777,-0.229695,0.432393,105.53151,-4.687038,11.273335,,,,,26.27581,,14.659498,0.174652,7.31595,8.97256,1.93873,50,5.672,-4.20475,-129.57189,-3.32831,12.25634,30.75199,-17.14239,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,d3a40d70-8465-11ec-adab-7968ab2d66aa,87.17176,2.96206,,8.8994,,,,-0.23373,2.96206,1.24687,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,22:22.4,2022-02-02T15:22:22.4186418-05:00,2022-02-02T20:22:22.4186418Z,GroundBall,v3,,,,,,Undefined,GIT_YJF,7cbdd2b4-ee0b-4edb-9654-1be6613752a0,55.0947,-130.77545,15.37599,5.78914,-2.6574,-8.5712,2.11268,-4.68444,6.12817,319.266529,-0.23291,151.22339,-24.87888,,,,,,,2.9631,-12.72659,-24.31422,,,,,,,1.24639,30.19288,4.28026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
